iter	Passed	Remaining
744	11728	4014
745	11745	3999
746	11760	3983
747	11777	3967
748	11796	3953
749	11816	3938
750	11832	3923
751	11846	3906
752	11862	3891
753	11877	3875
754	11893	3859
755	11909	3843
756	11925	3828
757	11941	3812
758	11958	3797
759	11976	3782
760	11991	3766
761	12007	3750
762	12025	3735
763	12039	3719
764	12054	3702
765	12070	3687
766	12083	3670
767	12097	3654
768	12111	3638
769	12126	3622
770	12141	3606
771	12160	3591
772	12174	3575
773	12190	3559
774	12207	3544
775	12221	3527
776	12235	3511
777	12249	3495
778	12263	3479
779	12278	3463
780	12294	3447
781	12311	3432
782	12326	3416
783	12343	3400
784	12360	3385
785	12374	3369
786	12388	3352
787	12402	3336
788	12416	3320
789	12429	3304
790	12444	3288
791	12460	3272
792	12476	3256
793	12495	3241
794	12512	3226
795	12531	3211
796	12545	3195
797	12559	3179
798	12575	3163
799	12589	3147
800	12604	3131
801	12620	3115
802	12635	3099
803	12651	3084
804	12667	3068
805	12681	3052
806	12695	3036
807	12709	3020
808	12724	3004
809	12737	2987
810	12754	2972
811	12770	2956
812	12785	2940
813	12799	2924
814	12814	2908
815	12828	2892
816	12843	2876
817	12857	2860
818	12870	2844
819	12886	2828
820	12899	2812
821	12913	2796
822	12926	2780
823	12940	2763
824	12953	2747
825	12970	2732
826	12987	2716
827	13116	2724
828	13169	2716
829	13185	2700
830	13200	2684
831	13224	2670
832	13246	2655
833	13277	2642
834	13299	2628
835	13317	2612
836	13335	2596
837	13355	2581
838	13372	2566
839	13391	2550
840	13412	2535
841	13431	2520
842	13465	2507
843	13488	2493
844	13514	2479
845	13531	2463
846	13547	2447
847	13563	2431
848	13579	2415
849	13595	2399
850	13613	2383
851	13629	2367
852	13647	2351
853	13663	2335
854	13683	2320
855	13698	2304
856	13714	2288
857	13730	2272
858	13747	2256
859	13766	2241
860	13783	2225
861	13800	2209
862	13818	2193
863	13835	2177
864	13852	2161
865	13868	2145
866	13885	2130
867	13900	2113
868	13916	2097
869	13930	2081
870	13947	2065
871	13965	2049
872	13980	2033
873	13996	2017
874	14012	2001
875	14027	1985
876	14042	1969
877	14057	1953
878	14071	1937
879	14087	1921
880	14103	1905
881	14117	1888
882	14134	1872
883	14151	1856
884	14165	1840
885	14180	1824
886	14194	1808
887	14210	1792
888	14225	1776
889	14239	1759
890	14255	1743
891	14270	1727
892	14284	1711
893	14299	1695
894	14314	1679
895	14330	1663
896	14344	1647
897	14359	1631
898	14376	1615
899	14390	1598
900	14406	1582
901	14422	1566
902	14436	1550
903	14451	1534
904	14466	1518
905	14480	1502
906	14495	1486
907	14509	1470
908	14523	1453
909	14539	1437
910	14554	1421
911	14570	1405
912	14583	1389
913	14598	1373
914	14614	1357
915	14678	1346
